"symbol","name","price"
"MDLZ34.SA","Mondelez International, Inc.","148.95"
"VLOE34.SA","Valero Energy Corporation","616.77"
"C1IC34.SA","The Cigna Group","350.65"
"NETE34.SA","NetEase, Inc.","59.03"
"M1NS34.SA","Monster Beverage Corporation","48.09"
"CPRL34.SA","Canadian Pacific Kansas City Limited","103.56"
"GMCO34.SA","General Motors Company","99.50"
"H1LT34.SA","Hilton Worldwide Holdings Inc.","65.77"
"A1ON34.SA","Aon plc","427.57"
"M1PC34.SA","Marathon Petroleum Corporation","1,259.52"
"ROST34.SA","Ross Stores, Inc.","566.26"
"ROXO34.SA","Nu Holdings Ltd.","12.58"
"A1EP34.SA","American Electric Power Company, Inc.","334.95"
"BPAC3.SA","Banco BTG Pactual S.A.","36.25"
"COLG34.SA","Colgate-Palmolive Company","63.71"
"W1BD34.SA","Warner Bros. Discovery, Inc.","142.00"
"T1DG34.SA","TransDigm Group Incorporated","122.71"
"D2AS34.SA","DoorDash, Inc.","53.11"
"L1HX34.SA","L3Harris Technologies, Inc.","459.08"
"E1LV34.SA","Elevance Health, Inc.","310.00"
"TRVC34.SA","The Travelers Companies, Inc.","47.50"
"VALE3.SA","Vale S.A.","79.55"
"R1YA34.SA","Ryanair Holdings plc","40.16"
"A1PD34.SA","Air Products and Chemicals, Inc.","377.35"
"D1LR34.SA","Digital Realty Trust, Inc.","230.69"
"S1RE34.SA","Sempra","125.16"
"T1EL34.SA","TE Connectivity plc","547.56"
"R1EL34.SA","RELX PLC","44.44"
"CNIC34.SA","Canadian National Railway Company","22.12"
"B1KR34.SA","Baker Hughes Company","320.96"
"OXYP34.SA","Occidental Petroleum Corporation","53.92"
"MSBR34.SA","Morgan Stanley","171.14"
"SIMN34.SA","Simon Property Group, Inc.","237.98"
"F1TN34.SA","Fortinet, Inc.","207.16"
"R1IN34.SA","Realty Income Corporation","158.57"
"O1KE34.SA","ONEOK, Inc.","236.15"
"F1AN34.SA","Diamondback Energy, Inc.","504.95"
"B1BT34.SA","Truist Financial Corporation","235.77"
"AZOI34.SA","AutoZone, Inc.","80.17"
"N1WG34.SA","NatWest Group plc","76.56"
"S2NW34.SA","Snowflake Inc.","20.83"
"A1TT34.SA","The Allstate Corporation","45.75"
"C1TV34.SA","Corteva, Inc.","105.51"
"I1FO34.SA","Infosys Limited","34.92"
"D1OM34.SA","Dominion Energy, Inc.","157.92"
"TGTB34.SA","Target Corporation","609.39"
"Z1TS34.SA","Zoetis Inc.","38.20"
"FASL34.SA","Fastenal Company","234.96"
"K1SG34.SA","Keysight Technologies, Inc.","774.54"
"BPAC5.SA","Banco BTG Pactual S.A.","11.63"
"G1WW34.SA","W.W. Grainger, Inc.","138.48"
"EAIN34.SA","Electronic Arts Inc.","527.60"
"A1UT34.SA","Autodesk, Inc.","308.43"
"E1XC34.SA","Exelon Corporation","255.84"
"C1AH34.SA","Cardinal Health, Inc.","1,097.63"
"CTGP34.SA","Citigroup Inc.","99.36"
"X1EL34.SA","Xcel Energy Inc.","201.47"
"A1ME34.SA","AMETEK, Inc.","46.50"
"FDMO34.SA","Ford Motor Company","62.87"
"N1XP34.SA","NXP Semiconductors N.V.","501.99"
"S2EA34.SA","Sea Limited","16.91"
"E1WL34.SA","Edwards Lifesciences Corporation","107.68"
"N1DA34.SA","Nasdaq, Inc.","218.67"
"U1RI34.SA","United Rentals, Inc.","139.43"
"C2OI34.SA","Coinbase Global, Inc.","37.61"
"NOKI34.SA","Nokia Oyj","44.00"
"I1DX34.SA","IDEXX Laboratories, Inc.","602.27"
"METB34.SA","MetLife, Inc.","367.41"
"B1DX34.SA","Becton, Dickinson and Company","164.73"
"D1HI34.SA","D.R. Horton, Inc.","706.89"
"F2NV34.SA","Franco-Nevada Corporation","6.81"
"ABEV3.SA","Ambev S.A.","15.01"
"DEAI34.SA","Delta Air Lines, Inc.","355.95"
"HSHY34.SA","The Hershey Company","227.30"
"D1DG34.SA","Datadog, Inc.","64.13"
